run,eta0,tau,parameter_label,start_step,end_step,num_rows,analysis_start_step,after20000_energy_mean,first_after20000_1000_energy_mean,last1000_energy_mean,last1000_energy_std,after20000_e0_mean,first_after20000_1000_e0_mean,last1000_e0_mean,last1000_e0_std,after20000_e1_mean,first_after20000_1000_e1_mean,last1000_e1_mean,last1000_e1_std,after20000_gap_hartree_mean,first_after20000_1000_gap_hartree_mean,last1000_gap_hartree_mean,last1000_gap_hartree_std,after20000_gap_ev_mean,first_after20000_1000_gap_ev_mean,last1000_gap_ev_mean,last1000_gap_ev_std,after20000_spin_mean,first_after20000_1000_spin_mean,last1000_spin_mean,last1000_spin_std,after20000_spin_state_0_mean,first_after20000_1000_spin_state_0_mean,last1000_spin_state_0_mean,last1000_spin_state_0_std,after20000_spin_state_1_mean,first_after20000_1000_spin_state_1_mean,last1000_spin_state_1_mean,last1000_spin_state_1_std,after20000_pmove_mean,first_after20000_1000_pmove_mean,last1000_pmove_mean,last1000_pmove_std,final_energy,final_e0,final_e1,final_gap_ev,final_spin
eta5e3_tau10000,0.005,10000,"eta0=0.005, tau=10000",0,29999,30000,20000,-75.18780826528598,-75.17381885335338,-75.19716577693963,0.03035190451139984,-75.37740421038761,-75.37238250540733,-75.3811184607606,0.04140705313233759,-75.17045906502216,-75.16826783162166,-75.17443766555712,0.0419250166619869,0.20694514536546277,0.20411467378565828,0.20668079520346835,0.05986162837101342,5.63126428227174,5.554243226855389,5.624070947909522,1.6289178909174395,0.008580589967999375,0.009623923157886441,0.008030765483745086,0.0007823680923665568,0.006931906325299959,0.007911014153785794,0.006132074243208076,0.0011583107496171963,0.010229273610698792,0.01133683216198709,0.009929456724282096,0.0010130407807192028,0.534715164794922,0.5348467529296875,0.5346620849609376,0.0018322459895373246,-75.15209557380946,-75.33936402921066,-75.1077303307158,6.303074037330381,0.007145160615375676
eta5e3_tau15000,0.005,15000,"eta0=0.005, tau=15000",0,29999,30000,20000,-75.18575722667407,-75.17026078924013,-75.19338829142708,0.029425428488627243,-75.37876229137241,-75.37642883461865,-75.3813052388765,0.040732600876189864,-75.17562202602385,-75.17224151142823,-75.17927419656642,0.041295535352338014,0.20314026534856422,0.20418732319042374,0.2020310423100549,0.059331954456159824,5.527728222512272,5.556220117869002,5.497544725978447,1.6145047294359338,0.009106728763607973,0.010368704019251418,0.008655217322570397,0.0007433711210989053,0.008611823158428226,0.010568922222204648,0.0080911489374433,0.0011475223213781526,0.00960163436878772,0.010168485816298188,0.009219285707697493,0.0010662188573618426,0.5347175756835938,0.5349281738281251,0.5347618652343751,0.0018421619063636644,-75.20506554014011,-75.3705067889132,-75.20782345437816,4.426839051818422,0.008409958150551207
eta5e3_tau20000,0.005,20000,"eta0=0.005, tau=20000",0,29999,30000,20000,-75.1830998523965,-75.16727473566134,-75.19932454108373,0.028631644894670974,-75.37943288829487,-75.37215691775829,-75.38472535092963,0.040045086792936425,-75.17388168650652,-75.16969340967496,-75.17727925182875,0.03924377850997618,0.20555120178835265,0.2024635080833146,0.20744609910088907,0.0564607008758713,5.593333145189884,5.5093127191727875,5.644895927857796,1.5363739392525266,0.00931848615436163,0.010327798901335932,0.008131891535671136,0.0007100987268886942,0.007181097826359817,0.008520541911206393,0.0063958711987213875,0.0010413766345406322,0.011455874482363444,0.01213505589146547,0.009867911872620889,0.0011474601420782546,0.5347485290527345,0.5347896606445313,0.534723388671875,0.0017764761796020619,-75.15617835655651,-75.39920248248553,-75.08968673112327,8.422352659535902,0.00882662502479322
eta1e3_tau10000,0.001,10000,"eta0=0.001, tau=10000",0,29999,30000,20000,-75.11316307703432,-75.10314628593005,-75.13318210010738,0.03623996757825571,-75.33704671121838,-75.32887943837103,-75.34519832441961,0.050603555796730496,-75.12535647133356,-75.11895550941233,-75.13231803953389,0.048568537362139605,0.21169023988483288,0.20992392895869247,0.21288028488573274,0.07059263723023888,5.760384882012041,5.712321113170327,5.792767656181635,1.9209235177949426,0.011769948859302815,0.012044045684187793,0.010527279681880998,0.0007581220603918129,0.009419866509058954,0.009927133796773468,0.007174686638532641,0.0011741151803863203,0.014120031209546675,0.014160957571602122,0.013879872725229354,0.0009997568204294918,0.53483228515625,0.534878369140625,0.5347629516601562,0.0017879671874927335,-75.14802082792025,-75.36817531742281,-75.12708208242209,6.560481138899308,0.009932294055572298
eta1e3_tau15000,0.001,15000,"eta0=0.001, tau=15000",0,29999,30000,20000,-75.12852466981381,-75.11417925206939,-75.1435474840551,0.036705937364824366,-75.34388298321198,-75.34168534156142,-75.34924259812216,0.04957631723027728,-75.13085929200646,-75.12163896201481,-75.13658712919079,0.05011786210150673,0.21302369120551454,0.220046379546592,0.21265546893137327,0.06972935407210941,5.796669940939333,5.9877670258735884,5.786650102413299,1.8974323863394253,0.010850270048255964,0.011704961619245745,0.009905681606645409,0.0007568737575735842,0.00948068287137216,0.010843693688840656,0.007914877981408453,0.0010683754468207422,0.01221985722513977,0.012566229549650833,0.011896485231882364,0.0010515352141979557,0.5347919555664064,0.5349991699218749,0.5347942138671875,0.0018401240431524682,-75.1295816692976,-75.35770537552459,-75.0986644354075,7.04886307504995,0.009856011669141202
eta1e3_tau20000,0.001,20000,"eta0=0.001, tau=20000",0,29999,30000,20000,-75.12323245223877,-75.1100181381207,-75.13228050339606,0.03733723716503341,-75.34240081235399,-75.33276877903774,-75.34615804123867,0.05195755112163081,-75.13021006333462,-75.11936137113604,-75.13784259753916,0.04720770630600294,0.21219074901937246,0.21340740790169715,0.20831544369952384,0.06876238891281966,5.774004429391644,5.807111404168192,5.668551999512111,1.8711199239035785,0.011275895249477702,0.011572530038598618,0.010941467986879012,0.0008634122356888413,0.008009244618581879,0.008163412818511354,0.008401589705792448,0.0011834929686210796,0.014542545880373525,0.014981647258685884,0.013481346267965577,0.001185522278479244,0.5347855993652344,0.5349597778320313,0.5347428344726564,0.0017990177008197228,-75.13491305675214,-75.28666691715298,-75.17895993159885,2.93085638530451,0.009790036762385036
