route,damping,damping_label,start_step,end_step,num_rows,first1000_energy_mean,last1000_energy_mean,last1000_energy_std,delta_last_minus_first_energy,first1000_e0_mean,last1000_e0_mean,last1000_e0_std,delta_last_minus_first_e0,first1000_e1_mean,last1000_e1_mean,last1000_e1_std,delta_last_minus_first_e1,first1000_gap_hartree_mean,last1000_gap_hartree_mean,last1000_gap_hartree_std,delta_last_minus_first_gap_hartree,first1000_gap_ev_mean,last1000_gap_ev_mean,last1000_gap_ev_std,delta_last_minus_first_gap_ev,first1000_spin_mean,last1000_spin_mean,last1000_spin_std,delta_last_minus_first_spin,first1000_spin_state_0_mean,last1000_spin_state_0_mean,last1000_spin_state_0_std,delta_last_minus_first_spin_state_0,first1000_spin_state_1_mean,last1000_spin_state_1_mean,last1000_spin_state_1_std,delta_last_minus_first_spin_state_1,first1000_pmove_mean,last1000_pmove_mean,last1000_pmove_std,delta_last_minus_first_pmove,first1000_step_seconds_mean,last1000_step_seconds_mean,last1000_step_seconds_std,delta_last_minus_first_step_seconds,final_energy,final_e0,final_e1,final_gap_ev,final_spin
ferminet,0.002,d=0.002,30000,39999,10000,-75.20398392487274,-75.22774477933088,0.027866820338898916,-0.02376085445813203,-75.38787129688797,-75.3930941917024,0.03823378252571587,-0.005222894814437495,-75.18476196962447,-75.18852077676968,0.03574142583856758,-0.003758807145203491,0.2031093272634858,0.2045734149327108,0.0507634231842651,0.0014640876692250115,5.526886354329493,5.566726209394764,1.3813431154355797,0.03983985506527077,0.008178083495825264,0.006234539981012443,0.000603954153518788,-0.0019435435148128207,0.007378497369626741,0.005363538691003743,0.0009736026314292787,-0.002014958678622998,0.008977669622023789,0.007105541271021142,0.0007948560316714702,-0.001872128351002647,0.5367899047851563,0.5350073364257812,0.001983031282626113,-0.0017825683593750696,0.7829949289979413,0.574163998301141,0.018384776411203636,-0.20883093069680037,-75.2536010569896,-75.3979155467053,-75.2332726450157,4.480161590536034,0.0059125207771722945
fused_qkv,0.002,d=0.002,30000,39999,10000,-75.20929444426639,-75.22859970578762,0.025421900996187623,-0.019305261521225248,-75.38778782304632,-75.39636183155423,0.03758162704483982,-0.008574008507906683,-75.18414260323911,-75.18883064819617,0.033968936526005085,-0.004688044957063653,0.20364521980721104,0.20753118335805668,0.05186434587009082,0.003885963550845639,5.541468733323146,5.647211188443036,1.4113007478665538,0.10574245511988956,0.007570176273081361,0.006336941906723352,0.0005757639445258311,-0.0012332343663580088,0.006618094073609745,0.004768253529890047,0.0009472900794585148,-0.001849840543719698,0.008522258472552979,0.007905630283556658,0.0007504745263599143,-0.0006166281889963213,0.53671435546875,0.5350422485351563,0.0020797674660447407,-0.0016721069335937644,0.7744971892135217,0.5779848487684504,0.0301212182297742,-0.19651234044507138,-75.23172045218591,-75.38857819053483,-75.1968724900549,5.216577861317034,0.00610048881089586
ferminet,0.003,d=0.003,30000,39999,10000,-75.20573989942615,-75.22726559090864,0.02523557931148809,-0.021525691482494835,-75.39092987895405,-75.39343611890669,0.03448912165375547,-0.0025062399526376566,-75.18242216610592,-75.18763725973095,0.03553551050701025,-0.005215093625025702,0.20850771284813374,0.20579885917574853,0.049533259835802264,-0.002708853672385214,5.673783909578121,5.600072246014984,1.3478686654148992,-0.0737116635631363,0.008021031654045878,0.006265823105110103,0.0006143699641030839,-0.0017552085489357747,0.007366919161266418,0.005798153033159027,0.0009876613231849132,-0.001568766128107391,0.008675144146825336,0.006733493177061181,0.0008408728162734916,-0.0019416509697641549,0.5367654296875001,0.5350942504882813,0.0020027417356689174,-0.0016711791992187752,0.8107705518361181,0.5993765181172639,0.026767930533472987,-0.21139403371885424,-75.2124878834185,-75.42126147170322,-75.14860563620714,7.419343251906439,0.007237505792339364
fused_qkv,0.003,d=0.003,30000,39999,10000,-75.21120619618375,-75.2296935380965,0.026637044990995326,-0.018487341912745592,-75.38489913126759,-75.39373884616693,0.03564457076503675,-0.008839714899337991,-75.18026511523799,-75.18895795824156,0.03777603652047513,-0.008692843003572648,0.204634016029618,0.20478088792535587,0.05231795310063942,0.00014687189573786563,5.568375249249636,5.572371837133238,1.4236440294209847,0.003996587883602132,0.007060380933093666,0.006087815320463732,0.0006678318543932334,-0.0009725656126299345,0.0068457009044023244,0.005674891632122353,0.001009818026924568,-0.0011708092722799712,0.007275060961785008,0.0065007390088051105,0.0008488266707099851,-0.0007743219529798978,0.5367215576171875,0.5349501831054688,0.0019575458413460486,-0.0017713745117187152,1.7862723913472145,1.4420676752356811,0.002455197717652375,-0.34420471611153336,-75.21953294810588,-75.40219562893849,-75.15424008434717,6.747214095708726,0.00586849085369547
ferminet,0.005,d=0.005,30000,39999,10000,-75.20206195404171,-75.23083459034079,0.02631786044834456,-0.028772636299081,-75.38663211064465,-75.39313887693075,0.035474552042996314,-0.0065067662860940345,-75.18248892678982,-75.18695586034636,0.03627049233695079,-0.00446693355654304,0.20414318385483674,0.20618301658441204,0.05090604024883869,0.0020398327295753083,5.555019025359704,5.610525701641385,1.3852239234649604,0.05550667628168071,0.00816073357362139,0.005876356279059582,0.0006092027444983531,-0.002284377294561808,0.008074918077362468,0.005443039215245992,0.0008740184511797043,-0.0026318788621164753,0.008246549069880312,0.006309673342873171,0.0010093221787445884,-0.0019368757270071413,0.53668779296875,0.5348221313476563,0.0018881403369418444,-0.001865661621093695,0.8072211571726948,0.5979397869836539,0.02576899401789389,-0.20928137018904092,-75.26219884666588,-75.41857571147933,-75.20392615470337,5.8409119969609735,0.0049052086425439585
fused_qkv,0.005,d=0.005,30000,39999,10000,-75.2116386066869,-75.22235524566389,0.025913497758502397,-0.01071663897698727,-75.387383744542,-75.39219357022692,0.03509791040975822,-0.004809825684915836,-75.18021740682512,-75.18719160617289,0.03619269673479586,-0.00697419934776633,0.20716633771688975,0.205001964054031,0.05049902290705429,-0.0021643736628587373,5.637283232781079,5.578387625060386,1.37414841736885,-0.05889560772069302,0.007135938612958935,0.006676086513730882,0.0005986301801958091,-0.00045985209922805304,0.007093333921280841,0.006120518101147546,0.0009363657265201288,-0.0009728158201332947,0.007178543304637027,0.007231654926314219,0.00070298106647097,5.311162167719128e-05,0.5366689941406251,0.5348509643554687,0.0018911472256241445,-0.0018180297851563276,0.8049333011573181,1.4540026658140124,0.008003168678895453,0.6490693646566943,-75.23659522166234,-75.41550464738205,-75.19477429926906,6.00637875871407,0.006841761335286229
ferminet,0.01,d=0.01,30000,39999,10000,-75.20636615750894,-75.23435715417673,0.025914472492772726,-0.027990996667796253,-75.39026682996625,-75.39486238486201,0.03461874911257183,-0.004595554895757914,-75.18136571488942,-75.18864518335202,0.03741750289227098,-0.00727946846259897,0.20890111507684703,0.20621720150996936,0.05180209421604652,-0.002683913566877666,5.684488929573671,5.6114559208545165,1.4096067940639028,-0.07303300871915486,0.007897885087354433,0.0056900559277993715,0.0005802015431491717,-0.0022078291595550616,0.007360144371767468,0.004507070890817554,0.0009607392644494498,-0.0028530734809499147,0.008435625802941398,0.006873040964781191,0.0007999244071022843,-0.0015625848381602067,0.5366581787109376,0.5350119018554688,0.0018845473331364669,-0.001646276855468809,1.7916167404549197,1.414934627157636,0.03357191703054688,-0.37668211329728374,-75.22617424453558,-75.41207633095962,-75.14935591399131,7.148986740831616,0.005454187793987982
fused_qkv,0.01,d=0.01,30000,39999,10000,-75.21092893597312,-75.23111035952569,0.02687221934221086,-0.020181423552571687,-75.38823908280806,-75.39406457472994,0.03597956501781236,-0.005825491921882531,-75.18240963289809,-75.18820831626266,0.035409008554984175,-0.005798683364574231,0.2058294499099499,0.20585625846727004,0.04862483756121577,2.6808557320151527e-05,5.600904662298886,5.601634160306822,1.3231492360266677,0.0007294980079359803,0.007351243162429909,0.005954859410651103,0.000646616577703478,-0.001396383751778806,0.007235150669660178,0.004287774149495168,0.0009962993278644415,-0.00294737652016501,0.007467335655199642,0.0076219446718070365,0.0008337610126491712,0.00015460901660739428,0.5367734252929688,0.5349057128906249,0.0018819314130167446,-0.0018677124023438463,1.7885643511433154,1.4455228484403342,0.004113652195260616,-0.34304150270298117,-75.21497634570565,-75.4322414301497,-75.15689221643247,7.492633806988763,0.007959047758541886
