route,learning_rate,learning_rate_label,start_step,end_step,num_rows,first1000_energy_mean,last1000_energy_mean,last1000_energy_std,delta_last_minus_first_energy,first1000_e0_mean,last1000_e0_mean,last1000_e0_std,delta_last_minus_first_e0,first1000_e1_mean,last1000_e1_mean,last1000_e1_std,delta_last_minus_first_e1,first1000_gap_hartree_mean,last1000_gap_hartree_mean,last1000_gap_hartree_std,delta_last_minus_first_gap_hartree,first1000_gap_ev_mean,last1000_gap_ev_mean,last1000_gap_ev_std,delta_last_minus_first_gap_ev,first1000_spin_mean,last1000_spin_mean,last1000_spin_std,delta_last_minus_first_spin,first1000_spin_state_0_mean,last1000_spin_state_0_mean,last1000_spin_state_0_std,delta_last_minus_first_spin_state_0,first1000_spin_state_1_mean,last1000_spin_state_1_mean,last1000_spin_state_1_std,delta_last_minus_first_spin_state_1,first1000_pmove_mean,last1000_pmove_mean,last1000_pmove_std,delta_last_minus_first_pmove,first1000_step_seconds_mean,last1000_step_seconds_mean,last1000_step_seconds_std,delta_last_minus_first_step_seconds,final_energy,final_e0,final_e1,final_gap_ev,final_spin
ferminet,0.02,lr=0.02,20000,39999,20000,-75.1725281956654,-75.22351299473975,0.026357064120021416,-0.0509847990743566,-75.38040844568226,-75.39080660363057,0.03541437193799537,-0.0103981579483019,-75.17721747713766,-75.18691339143726,0.03681558681790743,-0.009695914299598485,0.20319096854459337,0.20389321219331566,0.05027942082267292,0.0007022436487222894,5.529107926763329,5.548216949927502,1.3681727402303243,0.019109023164173067,0.010521178991666562,0.006473666960964435,0.0005555179613489344,-0.004047512030702127,0.00920955541027217,0.005416216637599199,0.0009518854186263032,-0.003793338772672971,0.01183280257306096,0.007531117284329673,0.0006825705274956871,-0.004301685288731287,0.5350288330078127,0.5348436889648438,0.001882143005951539,-0.00018514404296887665,1.6209466884611174,1.6240083374502137,0.08516180121989514,0.0030616489890962217,-75.25045922689523,-75.40210673093353,-75.23981453681287,4.4161955789259455,0.007050140697791654
fused_qkv,0.02,lr=0.02,20000,39999,20000,-75.16379341640743,-75.23070607658757,0.025637804496649298,-0.06691266018013664,-75.37733703883538,-75.39117948717097,0.035312101207329305,-0.013842448335594781,-75.17295963363868,-75.18708129775219,0.03364962744774978,-0.01412166411350313,0.20437740519667932,0.20409818941879207,0.04779998397219462,-0.00027921577788725394,5.561392512759636,5.553794664381572,1.3007038264194235,-0.00759784837806432,0.011022941903454988,0.005776629040805498,0.0006608207690844161,-0.0052463128626494895,0.009259086078868157,0.004595347288316236,0.0009947930930516902,-0.0046637387905519205,0.012786797728041817,0.00695791079329476,0.0007581592485628416,-0.005828886934747057,0.5351017700195313,0.5349221435546876,0.0018814072328899815,-0.00017962646484370737,1.6420495263999328,1.6449848839873449,0.002128776447884677,0.0029353575874120352,-75.26269533255248,-75.42343539372344,-75.20705517854422,5.888005611231588,0.005236021539409747
ferminet,0.01,lr=0.01,20000,39999,20000,-75.1725281956654,-75.22747447280668,0.024318097187328438,-0.05494627714128342,-75.38040844568226,-75.3941244617152,0.034127456962285314,-0.013716016032930156,-75.17721747713766,-75.18807644368701,0.03385676270609804,-0.010858966549349702,0.20319096854459337,0.20604801802818629,0.04870715166881425,0.002857049483592916,5.529107926763329,5.606852203785277,1.3253891170020236,0.07774427702194764,0.010521178991666562,0.006323032538908262,0.00063134456948682,-0.0041981464527583,0.00920955541027217,0.005580256046636775,0.0010213440292449747,-0.003629299363635395,0.01183280257306096,0.007065809031179748,0.0007621203007562048,-0.0047669935418812115,0.5350288330078127,0.534895751953125,0.001934321173882009,-0.00013308105468767817,1.6209466884611174,1.6172234825808556,0.033370694556783154,-0.0037232058802618706,-75.23622168638737,-75.36688113677835,-75.22766354368356,3.788303697938968,0.0059416460458322235
fused_qkv,0.01,lr=0.01,20000,39999,20000,-75.16379341640743,-75.23675187267209,0.02533798855985304,-0.07295845626465791,-75.37733703883538,-75.39476563890506,0.03597692301313664,-0.01742860006967817,-75.17295963363868,-75.18635766933292,0.0329774614809808,-0.013398035694237365,0.20437740519667932,0.20840796957213342,0.04927393699631681,0.004030564375454099,5.561392512759636,5.671069756769437,1.3408121314672545,0.10967724400980039,0.011022941903454988,0.005346982458894862,0.0006440475909668109,-0.005675959444560125,0.009259086078868157,0.0035355502614365522,0.0008869851280055128,-0.005723535817431604,0.012786797728041817,0.007158414656353173,0.0007944636682330968,-0.0056283830716886436,0.5351017700195313,0.5349006347656251,0.0019024590431638286,-0.0002011352539061928,1.6420495263999328,0.610454088122584,0.04689035759904251,-1.031595438277349,-75.25470667406712,-75.41236569808333,-75.22497363642414,5.09919776924038,0.006396299318647762
ferminet,0.005,lr=0.005,20000,39999,20000,-75.1725281956654,-75.21708197729392,0.025741908641069133,-0.044553781628522415,-75.38040844568226,-75.39542537226522,0.034676005317923475,-0.015016926582958945,-75.17721747713766,-75.19011577086712,0.03479491621039092,-0.012898293729463717,0.20319096854459337,0.20530960139810714,0.04949560060937329,0.002118632853513769,5.529107926763329,5.586758863653731,1.3468439056588157,0.05765093689040235,0.010521178991666562,0.007532658252177162,0.000612369239885915,-0.0029885207394894,0.00920955541027217,0.0071938326055448094,0.0008659021321728702,-0.0020157228047273604,0.01183280257306096,0.007871483898809517,0.0007950269034563409,-0.003961318674251443,0.5350288330078127,0.53494111328125,0.0018556839661106033,-8.77197265626295e-05,1.6209466884611174,0.5992325941184535,0.027063941329052304,-1.021714094342664,-75.21708653692384,-75.34567680646936,-75.2233528989986,3.328603093305288,0.006742831581009616
fused_qkv,0.005,lr=0.005,20000,39999,20000,-75.16379341640743,-75.2276613502746,0.02584879844235778,-0.06386793386717216,-75.37733703883538,-75.39508826076082,0.035630459572251874,-0.017751221925436766,-75.17295963363868,-75.18978784796796,0.03500191727534615,-0.016828214329279945,0.20437740519667932,0.205300412792856,0.049412995598291265,0.0009230075961766671,5.561392512759636,5.5865088289671805,1.3445961087964085,0.025116316207544287,0.011022941903454988,0.006436640542930671,0.0005585281594244387,-0.004586301360524316,0.009259086078868157,0.005162849793888269,0.0009570018960015188,-0.004096236284979887,0.012786797728041817,0.007710431291973075,0.0007501854500365296,-0.005076366436068742,0.5351017700195313,0.5349060668945312,0.0019076683608279742,-0.00019570312500005738,1.6420495263999328,1.6402951296484098,0.001875781056006168,-0.001754396751523002,-75.22270552813647,-75.38268021627432,-75.20459021683934,4.846075761173244,0.007092968842035447
