run,eta0,tau,parameter_label,start_step,end_step,num_rows,analysis_start_step,after20000_energy_mean,first_after20000_1000_energy_mean,last1000_energy_mean,last1000_energy_std,after20000_e0_mean,first_after20000_1000_e0_mean,last1000_e0_mean,last1000_e0_std,after20000_e1_mean,first_after20000_1000_e1_mean,last1000_e1_mean,last1000_e1_std,after20000_gap_hartree_mean,first_after20000_1000_gap_hartree_mean,last1000_gap_hartree_mean,last1000_gap_hartree_std,after20000_gap_ev_mean,first_after20000_1000_gap_ev_mean,last1000_gap_ev_mean,last1000_gap_ev_std,after20000_spin_mean,first_after20000_1000_spin_mean,last1000_spin_mean,last1000_spin_std,after20000_spin_state_0_mean,first_after20000_1000_spin_state_0_mean,last1000_spin_state_0_mean,last1000_spin_state_0_std,after20000_spin_state_1_mean,first_after20000_1000_spin_state_1_mean,last1000_spin_state_1_mean,last1000_spin_state_1_std,after20000_pmove_mean,first_after20000_1000_pmove_mean,last1000_pmove_mean,last1000_pmove_std,final_energy,final_e0,final_e1,final_gap_ev,final_spin
eta1e2_tau10000,0.01,10000,"eta0=0.01, tau=10000",0,29999,30000,20000,-75.19502922266179,-75.18357312699155,-75.2013201638423,0.028302267847188794,-75.3824257236485,-75.37860254782406,-75.38575406668548,0.03819602896889025,-75.1782313437856,-75.17493010589266,-75.18381248576651,0.03938033393724774,0.20419437986287167,0.20367244193139042,0.20194158091896164,0.055554293644854244,5.556412139708595,5.542209485058626,5.495110357511305,1.5117093419931655,0.00849054782297852,0.009274915475271272,0.008297991506546414,0.0007499695649594182,0.006994027261121373,0.00866758077097675,0.006075405473461298,0.0009991993988860478,0.009987068384835667,0.009882250179565791,0.010520577539631528,0.0011994376621005162,0.5347379956054688,0.5347663208007811,0.5347176147460939,0.0018455398691992926,-75.21049082738455,-75.43342675455013,-75.14115981147717,7.952988674892498,0.007680245562921051
eta1e2_tau15000,0.01,15000,"eta0=0.01, tau=15000",0,29999,30000,20000,-75.17030691352493,-75.14467175855324,-75.19228965729279,0.027005951430074213,-75.38371920324859,-75.37985114637672,-75.38767616697447,0.03886149569482305,-75.17714439073323,-75.17303791707019,-75.18032663487,0.035913057666293643,0.20657481251536775,0.20681322930651944,0.20734953210446203,0.052899414470757744,5.621187012048227,5.627674663439786,5.642268206019404,1.4394663993503958,0.010968835038640297,0.013118949990676658,0.00913471954915501,0.0007278759481571449,0.008309105152119097,0.011092255726135484,0.0060591975327562225,0.0010975171725740016,0.013628564925161495,0.015145644255217833,0.012210241565553797,0.0009479848735492875,0.5346830310058595,0.53481396484375,0.5346414672851563,0.0018026221220925093,-75.20009128262018,-75.38920110899981,-75.21701304268139,4.685475979540501,0.010270532499869724
eta1e2_tau20000,0.01,20000,"eta0=0.01, tau=20000",0,29999,30000,20000,-75.19056765673145,-75.16666710029143,-75.20356503085547,0.028494906505991176,-75.38307576193262,-75.37411063045245,-75.38497426914083,0.0400976661033367,-75.17952781084024,-75.17394552753854,-75.18202064077747,0.03736989168223352,0.2035479510923722,0.20016510291389705,0.20295362836335698,0.05431732549047445,5.538821916754015,5.44676992835799,5.522649571420012,1.4780497237703498,0.009030922323474381,0.01068253191776888,0.007952135406786104,0.0007483906014783977,0.007400776170661916,0.009255405389726405,0.006548695415648689,0.0009967597908223911,0.010661068476286846,0.012109658445811357,0.009355575397923517,0.0011315972414313222,0.5347389501953125,0.53476328125,0.5348116943359376,0.0018239338369391172,-75.2154963163022,-75.39848066432987,-75.17423729270438,6.1019729984038555,0.0069975305242333755
eta2e2_tau10000,0.02,10000,"eta0=0.02, tau=10000",0,29999,30000,20000,-75.19531260503678,-75.1804255462912,-75.19888941284623,0.026345612519760527,-75.38438564968233,-75.37940516656963,-75.38786951883088,0.03599575765799052,-75.1784234954763,-75.17140826166727,-75.18283783420993,0.03605810114673375,0.20596215420604613,0.2079969049023645,0.20503168462094054,0.05073804451251106,5.6045157301564625,5.659884117268275,5.5791963628860115,1.3806525265960703,0.008559231135148298,0.009437814858430147,0.008607421215054546,0.0006667323924231544,0.0076773575829333805,0.008965167171880475,0.007251816612852697,0.0010431907144349821,0.00944110468736321,0.009910462544979818,0.009963025817256395,0.0009682117224255367,0.53481529296875,0.5349984863281251,0.5347988525390626,0.001838155484692698,-75.18963528849149,-75.39038077984154,-75.17718744444504,5.801286194544539,0.00913503357773928
eta2e2_tau15000,0.02,15000,"eta0=0.02, tau=15000",0,29999,30000,20000,-75.1733499312559,-75.16492612257565,-75.19192532987934,0.027183391735462713,-75.3831556559115,-75.37714552576377,-75.38794188088261,0.03779829408126493,-75.17678480938163,-75.1730121878776,-75.18454963138392,0.036459576530218064,0.20637084652987037,0.204133337886169,0.20339224949869456,0.05268108940324292,5.615636814835814,5.554751102903319,5.534585060549336,1.4335254716110686,0.010602898418807988,0.010936451688029663,0.009388853601118406,0.0006702116939429935,0.008313940571540375,0.008765235746366203,0.007349599122245283,0.0010270779876919935,0.012891856266075597,0.013107667629693126,0.011428108079991532,0.0009522089461499976,0.5347903588867188,0.5348704345703126,0.5347245849609376,0.001850133282874885,-75.19850772140782,-75.39178140810046,-75.19309060892775,5.406652079812628,0.009185792066982256
eta2e2_tau20000,0.02,20000,"eta0=0.02, tau=20000",0,29999,30000,20000,-75.19192673292501,-75.17009601390365,-75.21305061962958,0.027921647021803293,-75.38336440130377,-75.3792783793231,-75.38923474171912,0.03775073479050739,-75.17793595511783,-75.17451856529101,-75.18072999026073,0.037973404812080065,0.20542844618594827,0.20475981403209048,0.20850475145838743,0.053885515798843237,5.589992795078999,5.571798387283887,5.67370332605791,1.4662995834666117,0.008804780934141452,0.010600127234759112,0.007152681839899619,0.0007203244286300222,0.00633602467338105,0.0071714725673227096,0.005500160461940186,0.0010429186121890116,0.011273537194901853,0.014028781902195515,0.008805203217859051,0.0010320433950769064,0.5348654357910156,0.5348131835937501,0.534891650390625,0.0018907854828193664,-75.19051448068245,-75.32994661129722,-75.18392330980001,3.9734964579549117,0.006634160375222201
