run,eta0,tau,parameter_label,start_step,end_step,num_rows,analysis_start_step,after5000_energy_mean,first_after5000_1000_energy_mean,last1000_energy_mean,last1000_energy_std,after5000_e0_mean,first_after5000_1000_e0_mean,last1000_e0_mean,last1000_e0_std,after5000_e1_mean,first_after5000_1000_e1_mean,last1000_e1_mean,last1000_e1_std,after5000_gap_hartree_mean,first_after5000_1000_gap_hartree_mean,last1000_gap_hartree_mean,last1000_gap_hartree_std,after5000_gap_ev_mean,first_after5000_1000_gap_ev_mean,last1000_gap_ev_mean,last1000_gap_ev_std,after5000_spin_mean,first_after5000_1000_spin_mean,last1000_spin_mean,last1000_spin_std,after5000_spin_state_0_mean,first_after5000_1000_spin_state_0_mean,last1000_spin_state_0_mean,last1000_spin_state_0_std,after5000_spin_state_1_mean,first_after5000_1000_spin_state_1_mean,last1000_spin_state_1_mean,last1000_spin_state_1_std,after5000_pmove_mean,first_after5000_1000_pmove_mean,last1000_pmove_mean,last1000_pmove_std,final_energy,final_e0,final_e1,final_gap_ev,final_spin
eta1e2_tau10000,0.01,10000,"eta0=0.01, tau=10000",0,29999,30000,5000,-75.14866120235115,-75.00459990979446,-75.2013201638423,0.028302267847188794,-75.36647429682516,-75.325899353638,-75.38575406668548,0.03819602896889025,-75.1613028427424,-75.10814515280562,-75.18381248576651,0.03938033393724774,0.2051714540827665,0.21775420083237873,0.20194158091896164,0.055554293644854244,5.582999683697149,5.925393665536299,5.495110357511305,1.5117093419931655,0.011454832012324931,0.02103194427692728,0.008297991506546414,0.0007499695649594182,0.009999495200580725,0.018470101611745497,0.006075405473461298,0.0009991993988860478,0.012910168824069139,0.02359378694210906,0.010520577539631528,0.0011994376621005162,0.5347534326171876,0.5350480224609375,0.5347176147460939,0.0018455398691992926,-75.21049082738455,-75.43342675455013,-75.14115981147717,7.952988674892498,0.007680245562921051
eta1e2_tau15000,0.01,15000,"eta0=0.01, tau=15000",0,29999,30000,5000,-75.12316671589078,-75.00245516571225,-75.19228965729279,0.027005951430074213,-75.3668756870864,-75.32241074252981,-75.38767616697447,0.03886149569482305,-75.159928444819,-75.11462968306189,-75.18032663487,0.035913057666293643,0.20694724226739786,0.20778105946792902,0.20734953210446203,0.052899414470757744,5.6313213418802155,5.654010663782419,5.642268206019404,1.4394663993503958,0.013950859215795842,0.02142473657132907,0.00913471954915501,0.0007278759481571449,0.011702528933236459,0.019376430232312898,0.0060591975327562225,0.0010975171725740016,0.01619918949835523,0.02347304291034525,0.012210241565553797,0.0009479848735492875,0.5347316069335938,0.5351025146484376,0.5346414672851563,0.0018026221220925093,-75.20009128262018,-75.38920110899981,-75.21701304268139,4.685475979540501,0.010270532499869724
eta1e2_tau20000,0.01,20000,"eta0=0.01, tau=20000",0,29999,30000,5000,-75.13990365422556,-74.99984667720696,-75.20356503085547,0.028494906505991176,-75.36688096730464,-75.31887165587796,-75.38497426914083,0.0400976661033367,-75.16372314742625,-75.12044094785108,-75.18202064077747,0.03736989168223352,0.20315781987839407,0.19843070802686663,0.20295362836335698,0.05431732549047445,5.528205905603839,5.399574639183938,5.522649571420012,1.4780497237703498,0.012472127018434967,0.021830163314434412,0.007952135406786104,0.0007483906014783977,0.011302948398862972,0.022981702193884387,0.006548695415648689,0.0009967597908223911,0.013641305638006956,0.02067862443498443,0.009355575397923517,0.0011315972414313222,0.5348099965820312,0.5350771728515625,0.5348116943359376,0.0018239338369391172,-75.2154963163022,-75.39848066432987,-75.17423729270438,6.1019729984038555,0.0069975305242333755
eta2e2_tau10000,0.02,10000,"eta0=0.02, tau=10000",0,29999,30000,5000,-75.14579909224423,-75.01444704532283,-75.19888941284623,0.026345612519760527,-75.36885527374247,-75.32537745256967,-75.38786951883088,0.03599575765799052,-75.1632419317951,-75.11988112130629,-75.18283783420993,0.03605810114673375,0.20561334194736838,0.20549633126338226,0.20503168462094054,0.05073804451251106,5.595024065058247,5.591840042141395,5.5791963628860115,1.3806525265960703,0.011935817428182442,0.02063457813046834,0.008607421215054546,0.0006667323924231544,0.011363235667018735,0.01852911764349534,0.007251816612852697,0.0010431907144349821,0.012508399189346155,0.02274003861744134,0.009963025817256395,0.0009682117224255367,0.5348920961914063,0.5350954345703125,0.5347988525390626,0.001838155484692698,-75.18963528849149,-75.39038077984154,-75.17718744444504,5.801286194544539,0.00913503357773928
eta2e2_tau15000,0.02,15000,"eta0=0.02, tau=15000",0,29999,30000,5000,-75.135018520474,-75.01604057847327,-75.19192532987934,0.027183391735462713,-75.3687891112544,-75.32457838739295,-75.38794188088261,0.03779829408126493,-75.159868706793,-75.11100945115886,-75.18454963138392,0.036459576530218064,0.2089204044614093,0.21356893623407877,0.20339224949869456,0.05268108940324292,5.685013820467442,5.811506814010299,5.534585060549336,1.4335254716110686,0.012835185784572723,0.019990022996161066,0.009388853601118406,0.0006702116939429935,0.010641082997098884,0.018028546349966458,0.007349599122245283,0.0010270779876919935,0.015029288572046558,0.02195149964235567,0.011428108079991532,0.0009522089461499976,0.534891798828125,0.5351100463867188,0.5347245849609376,0.001850133282874885,-75.19850772140782,-75.39178140810046,-75.19309060892775,5.406652079812628,0.009185792066982256
eta2e2_tau20000,0.02,20000,"eta0=0.02, tau=20000",0,29999,30000,5000,-75.13743405065918,-75.00434432521392,-75.21305061962958,0.027921647021803293,-75.36718592812376,-75.3267800161107,-75.38923474171912,0.03775073479050739,-75.16069198466882,-75.10866496059101,-75.18072999026073,0.037973404812080065,0.20649394345493882,0.21811505551967106,0.20850475145838743,0.053885515798843237,5.618986452809544,5.935213021810886,5.67370332605791,1.4662995834666117,0.012539887006847631,0.021204000195436397,0.007152681839899619,0.0007203244286300222,0.010019869334675581,0.02126170125764222,0.005500160461940186,0.0010429186121890116,0.015059904679019676,0.021146299133230566,0.008805203217859051,0.0010320433950769064,0.53495544921875,0.5351430297851563,0.534891650390625,0.0018907854828193664,-75.19051448068245,-75.32994661129722,-75.18392330980001,3.9734964579549117,0.006634160375222201
